Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI @ NYG,14,Sun,1:00PM,2.00%,-3.0,0,-3.0,10.6,0.12,-2.88,-0.12,"[[30.5, 1.5], [-2.0, -31.0]]",1,NYG,
2020,ATL @ LAC,14,Sun,4:25PM,-3.50%,-2.5,0,-2.5,25.4,3.45,0.9500000000000002,-3.45,Too Close To Call,0,,
2020,BAL @ CLE,14,Mon,8:15PM,8.50%,-2.0,0,-2.0,11.5,0.32,-1.68,-0.32,"[[30.5, 1.5], [-2.0, -31.0]]",1,CLE,
2020,DAL @ CIN,14,Sun,1:00PM,-22.60%,-3.5,0,-3.5,4.5,-1.23,-4.73,1.23,Unreliable Prediction Due To QB Injury,0,,
2020,DEN @ CAR,14,Sun,1:00PM,-23.10%,3.0,0,3.0,-21.8,-6.92,-3.92,6.92,"[[37.5, 8.5], [5.0, -24.0]]",1,CAR,
2020,GB @ DET,14,Sun,4:25PM,20.30%,-7.5,0,-7.5,36.1,5.91,-1.5899999999999999,-5.91,"[[25.0, -4.0], [-7.5, -36.5]]",1,DET,
2020,HOU @ CHI,14,Sun,1:00PM,-5.90%,-1.0,0,-1.0,-1.5,-2.55,-3.55,2.55,"[[33.0, 4.5], [1.0, -28.0]]",1,CHI,
2020,IND @ LV,14,Sun,4:05PM,15.80%,-3.0,0,-3.0,21.200000000000003,2.5,-0.5,-2.5,Too Close To Call,0,,
2020,KC @ MIA,14,Sun,1:00PM,28.20%,-7.5,0,-7.5,13.1,0.67,-6.83,-0.67,"[[30.0, 1.0], [-2.5, -31.5]]",1,MIA,
2020,MIN @ TB,14,Sun,1:00PM,-2.40%,6.5,0,6.5,-25.4,-7.68,-1.1799999999999997,7.68,Too Close To Call,0,,
2020,NE @ LAR,14,Thu,8:20PM,-4.80%,5.0,0,5.0,-25.2,-7.64,-2.6399999999999997,7.64,"[[38.5, 9.5], [6.0, -23.0]]",1,LAR,
2020,NO @ PHI,14,Sun,4:25PM,38.20%,-7.0,0,-7.0,53.800000000000004,10.09,3.09,-10.09,Unreliable Prediction Due To QB Injury,0,,
2020,NYJ @ SEA,14,Sun,4:05PM,-32.90%,13.5,0,13.5,-41.9,-11.1,2.4000000000000004,11.1,"[[42.0, 13.0], [9.5, -19.5]]",1,NYJ,
2020,PIT @ BUF,14,Sun,8:20PM,27.10%,2.0,0,2.0,10.400000000000002,0.07,2.07,-0.07,"[[30.5, 1.5], [-2.0, -31.0]]",1,PIT,
2020,TEN @ JAX,14,Sun,1:00PM,4.60%,-7.5,0,-7.5,24.299999999999997,3.2,-4.3,-3.2,"[[27.5, -1.5], [-5.0, -34.0]]",1,JAX,
2020,WAS @ SF,14,Sun,4:25PM,0.00%,3.0,0,3.0,-0.8,-2.4,0.6000000000000001,2.4,Too Close To Call,0,,
