Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NYG,14,Sun,December 13,1:00PM,0,preview,,,,,,,2.00%,-3.0
ATL,LAC,14,Sun,December 13,4:25PM,0,preview,,,,,,,-3.50%,-2.5
BAL,CLE,14,Mon,December 14,8:15PM,0,preview,,,,,,,8.50%,-2.0
BUF,PIT,14,Sun,December 13,8:20PM,1,preview,,,,,,,16.70%,-2.0
CAR,DEN,14,Sun,December 13,1:00PM,1,preview,,,,,,,-1.30%,-3.0
CHI,HOU,14,Sun,December 13,1:00PM,1,preview,,,,,,,-4.40%,1.0
CIN,DAL,14,Sun,December 13,1:00PM,1,preview,,,,,,,-27.10%,3.5
CLE,BAL,14,Mon,December 14,8:15PM,1,preview,,,,,,,-3.00%,2.0
DAL,CIN,14,Sun,December 13,1:00PM,0,preview,,,,,,,-22.60%,-3.5
DEN,CAR,14,Sun,December 13,1:00PM,0,preview,,,,,,,-23.10%,3.0
DET,GB,14,Sun,December 13,4:25PM,1,preview,,,,,,,-15.80%,7.5
GB,DET,14,Sun,December 13,4:25PM,0,preview,,,,,,,20.30%,-7.5
HOU,CHI,14,Sun,December 13,1:00PM,0,preview,,,,,,,-5.90%,-1.0
IND,LV,14,Sun,December 13,4:05PM,0,preview,,,,,,,15.80%,-3.0
JAX,TEN,14,Sun,December 13,1:00PM,1,preview,,,,,,,-19.70%,7.5
KC,MIA,14,Sun,December 13,1:00PM,0,preview,,,,,,,28.20%,-7.5
LAC,ATL,14,Sun,December 13,4:25PM,1,preview,,,,,,,-28.90%,2.5
LAR,NE,14,Thu,December 10,8:20PM,1,preview,,,,,,,20.40%,-5.0
LV,IND,14,Sun,December 13,4:05PM,1,preview,,,,,,,-5.40%,3.0
MIA,KC,14,Sun,December 13,1:00PM,1,preview,,,,,,,15.10%,7.5
MIN,TB,14,Sun,December 13,1:00PM,0,preview,,,,,,,-2.40%,6.5
NE,LAR,14,Thu,December 10,8:20PM,0,preview,,,,,,,-4.80%,5.0
NO,PHI,14,Sun,December 13,4:25PM,0,preview,,,,,,,38.20%,-7.0
NYG,ARI,14,Sun,December 13,1:00PM,1,preview,,,,,,,-8.60%,3.0
NYJ,SEA,14,Sun,December 13,4:05PM,0,preview,,,,,,,-32.90%,13.5
PHI,NO,14,Sun,December 13,4:25PM,1,preview,,,,,,,-15.60%,7.0
PIT,BUF,14,Sun,December 13,8:20PM,0,preview,,,,,,,27.10%,2.0
SEA,NYJ,14,Sun,December 13,4:05PM,1,preview,,,,,,,9.00%,-13.5
SF,WAS,14,Sun,December 13,4:25PM,1,preview,,,,,,,0.80%,-3.0
TB,MIN,14,Sun,December 13,1:00PM,1,preview,,,,,,,23.00%,-6.5
TEN,JAX,14,Sun,December 13,1:00PM,0,preview,,,,,,,4.60%,-7.5
WAS,SF,14,Sun,December 13,4:25PM,0,preview,,,,,,,0.00%,3.0
